FLAGS	en_US.utf8	zh_CN.utf8	location
	#1	#1	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/Classification/Classification_Wizard_02.pnl
panels/SmartSCADA/Wizard/Classification/Classification_Wizard_03.pnl
panels/SmartSCADA/Wizard/Classification/Classification_Wizard_04.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/kpi/kpiTable.pnl"
	#2	#2	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	#3	#3	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	#4	#4	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	#5	#5	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	#6	#6	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	#7	#7	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	#8	#8	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	$1 KPI instances modified	$1 KPI 实例已修改	msg/ssc_wizards.cat
	(Re-)Calculate	(Re-)Calculate	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	(Re-)Calculation	计算	"panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl"
	*	*	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	+	+	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	-	-	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	/	/	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	@%4.2f@	@%4.2f@	dplist/dptexts.txt
	@@h	@@h	dplist/dptexts.txt
	@@min	@@min	dplist/dptexts.txt
	A	A	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	A labelset with this name already exists.	已存在具有此名称的标签集。	msg/ssc_errors.cat
	ASCII@@	ASCII@@	dplist/dptexts.txt
	ASCII_2@@	ASCII_2@@	dplist/dptexts.txt
	Active	激活	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Add new KPI	新建 KPI	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Add new KPI parameter	添加新的 KPI 参数	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Add new session	添加新进程	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl"
	Alert	Alert	dplist/dptexts.txt
	Alert H2 _mp_DRIVE1	Alert H2 _mp_DRIVE1	dplist/dptexts.txt
	Alert H2 _mp_DRIVE2	Alert H2 _mp_DRIVE2	dplist/dptexts.txt
	Alert H2 _mp_PUMP1	Alert H2 _mp_PUMP1	dplist/dptexts.txt
	Alert H2 _mp_PUMP2	Alert H2 _mp_PUMP2	dplist/dptexts.txt
	Alert H2 _mp_SETPOINT	Alert H2 _mp_SETPOINT	dplist/dptexts.txt
	Alert H2 _mp_SLIDE_VALVE1	Alert H2 _mp_SLIDE_VALVE1	dplist/dptexts.txt
	Alert H2 _mp_SLIDE_VALVE2	Alert H2 _mp_SLIDE_VALVE2	dplist/dptexts.txt
	Alert L2 _mp_DRIVE1	Alert L2 _mp_DRIVE1	dplist/dptexts.txt
	Alert L2 _mp_DRIVE2	Alert L2 _mp_DRIVE2	dplist/dptexts.txt
	Alert L2 _mp_PUMP1	Alert L2 _mp_PUMP1	dplist/dptexts.txt
	Alert L2 _mp_PUMP2	Alert L2 _mp_PUMP2	dplist/dptexts.txt
	Alert L2 _mp_SETPOINT	Alert L2 _mp_SETPOINT	dplist/dptexts.txt
	Alert L2 _mp_SLIDE_VALVE1	Alert L2 _mp_SLIDE_VALVE1	dplist/dptexts.txt
	Alert L2 _mp_SLIDE_VALVE2	Alert L2 _mp_SLIDE_VALVE2	dplist/dptexts.txt
	Alert came	Alert came	dplist/dptexts.txt
	Alert gone	Alert gone	dplist/dptexts.txt
	Alerts	Alerts	dplist/dptexts.txt
	Alerts@%s@	Alerts@%s@	dplist/dptexts.txt
	All KPI parameters	所有 KPI 参数	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Analytics project	分析项目	msg/ssc_errors.cat
	Api@@	Api@@	dplist/dptexts.txt
	Api_2@@	Api_2@@	dplist/dptexts.txt
	Apply	应用	panels/SmartSCADA/Wizard/Classification/helper/labelEditor.pnl
	Are you sure you want to delete KPI definition: 	您确定要删除 KPI 定义：	msg/ssc_wizards.cat
	Are you sure you want to delete datamining session: 	您确定要删除数据挖掘进程：	msg/ssc_wizards.cat
	Are you sure you want to delete this session (trained models will also be deleted): 	您确定要删除此进程（训练后的模型也将被删除）：	msg/ssc_wizards.cat
	Arial,-1,11,5,50,0,0,0,0,0	Arial,-1,11,5,50,0,0,0,0,0	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Arial,-1,12,5,50,0,0,0,0,0	Arial,-1,12,5,50,0,0,0,0,0	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_03.pnl
panels/SmartSCADA/Wizard/Classification/Classification_Wizard_04.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl
panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl"
	Arial,-1,13,5,50,0,0,0,0,0	Arial,-1,13,5,50,0,0,0,0,0	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/Classification/Classification_Wizard_02.pnl
panels/SmartSCADA/Wizard/Classification/Classification_Wizard_03.pnl
panels/SmartSCADA/Wizard/Classification/Classification_Wizard_04.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Handover.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl
panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl"
